Timestamp,ID Match,ID Game,Credit,Value,Kind,Login,Counter In,Counter Out
2024-07-12 23:49:33.177503,58B1F6B484EF44988D63,CH2,0,0,win,keno_015,73400,105000
2024-07-12 23:49:33.106795,15040104A4994433AEE5,CH2,0,25,bet,keno_015,73400,105000
2024-07-12 23:49:27.782018,15040104A4994433AEE5,CH2,25,0,win,keno_015,73400,105000
2024-07-12 23:49:27.716630,F6F8D7C6CB8B4ACA8538,CH2,25,25,bet,keno_015,73400,105000
2024-07-12 23:49:01.334442,F6F8D7C6CB8B4ACA8538,CH2,50,0,win,keno_015,73400,105000
2024-07-12 23:49:01.260035,9D74114FBD7E4EB1A565,CH2,50,25,bet,keno_015,73400,105000
2024-07-12 23:48:55.332072,9D74114FBD7E4EB1A565,CH2,75,0,win,keno_015,73400,105000
2024-07-12 23:48:55.262342,BCB95F46E2024928A968,CH2,75,25,bet,keno_015,73400,105000
2024-07-12 23:48:50.027759,BCB95F46E2024928A968,CH2,100,0,win,keno_015,73400,105000
2024-07-12 23:48:49.955045,7439A57885B7454482A6,CH2,100,25,bet,keno_015,73400,105000
2024-07-12 23:48:44.781588,7439A57885B7454482A6,CH2,125,0,win,keno_015,73400,105000
2024-07-12 23:48:44.712372,832C00BCE5474947824B,CH2,125,25,bet,keno_015,73400,105000
2024-07-12 23:48:39.305364,832C00BCE5474947824B,CH2,150,0,win,keno_015,73400,105000
2024-07-12 23:48:39.228117,F5DC2114571D4C40A85F,CH2,150,25,bet,keno_015,73400,105000
2024-07-12 23:48:32.934709,F5DC2114571D4C40A85F,CH2,175,0,win,keno_015,73400,105000
2024-07-12 23:48:32.861898,C576268789F545539743,CH2,175,25,bet,keno_015,73400,105000
2024-07-12 23:48:27.139465,C576268789F545539743,CH2,200,25,win,keno_015,73400,105000
2024-07-12 23:48:27.049137,9DBEECAF3D244FDB929E,CH2,175,25,bet,keno_015,73400,105000
2024-07-12 23:48:21.230457,9DBEECAF3D244FDB929E,CH2,200,0,win,keno_015,73400,105000
2024-07-12 23:48:21.161267,B07DBBB598C545CBB273,CH2,200,25,bet,keno_015,73400,105000
2024-07-12 23:48:15.519760,B07DBBB598C545CBB273,CH2,225,25,win,keno_015,73400,105000
2024-07-12 23:48:15.435511,98BB47B5460E419DA261,CH2,200,25,bet,keno_015,73400,105000
2024-07-12 23:48:09.619936,98BB47B5460E419DA261,CH2,225,0,win,keno_015,73400,105000
2024-07-12 23:48:09.555184,DCE3903A1305454FA310,CH2,225,25,bet,keno_015,73400,105000
2024-07-12 23:44:48.359735,DCE3903A1305454FA310,CH2,250,0,win,keno_015,73400,105000
2024-07-12 23:44:48.288390,882EAABB987E44428955,CH2,250,25,bet,keno_015,73400,105000
2024-07-12 23:44:42.207524,882EAABB987E44428955,CH2,275,0,win,keno_015,73400,105000
2024-07-12 23:44:42.128306,B7C26EF46DD3415286DF,CH2,275,25,bet,keno_015,73400,105000
2024-07-12 23:44:34.072100,B7C26EF46DD3415286DF,CH2,300,0,win,keno_015,73400,105000
2024-07-12 23:44:33.995941,2368C33D687140799B0E,CH2,300,25,bet,keno_015,73400,105000
2024-07-12 23:44:26.131052,2368C33D687140799B0E,CH2,325,0,win,keno_015,73400,105000
2024-07-12 23:44:26.061446,4B8F8DC09EF947FA8CDF,CH2,325,25,bet,keno_015,73400,105000
2024-07-12 23:44:17.656571,4B8F8DC09EF947FA8CDF,CH2,350,0,win,keno_015,73400,105000
2024-07-12 23:44:17.577093,7026B35822C64F94BB77,CH2,350,25,bet,keno_015,73400,105000
2024-07-12 23:44:12.214650,7026B35822C64F94BB77,CH2,375,0,win,keno_015,73400,105000
2024-07-12 23:44:12.130052,30DEC9C60EFA43C1922D,CH2,375,25,bet,keno_015,73400,105000
2024-07-12 23:43:48.804008,30DEC9C60EFA43C1922D,CH2,400,0,win,keno_015,73400,105000
2024-07-12 23:43:48.722874,3CC91B3D1D304B2397AD,CH2,400,75,bet,keno_015,73400,105000
2024-07-12 23:43:43.037719,3CC91B3D1D304B2397AD,CH2,475,0,win,keno_015,73400,105000
2024-07-12 23:43:42.963611,35206B5708E44520A71A,CH2,475,75,bet,keno_015,73400,105000
2024-07-12 23:43:37.393801,35206B5708E44520A71A,CH2,550,0,win,keno_015,73400,105000
2024-07-12 23:43:37.319583,29C3C98956AC42A09B8F,CH2,550,75,bet,keno_015,73400,105000
2024-07-12 23:43:32.048926,29C3C98956AC42A09B8F,CH2,625,0,win,keno_015,73400,105000
2024-07-12 23:43:31.967016,116B83327232439A9E99,CH2,625,75,bet,keno_015,73400,105000
2024-07-12 23:43:26.635596,116B83327232439A9E99,CH2,700,0,win,keno_015,73400,105000
2024-07-12 23:43:26.561889,F4E83B4349BC4774A45F,CH2,700,75,bet,keno_015,73400,105000
2024-07-12 23:43:21.753878,F4E83B4349BC4774A45F,CH2,775,0,win,keno_015,73400,105000
2024-07-12 23:43:21.652803,2572D590DB9C41C4BF37,CH2,775,75,bet,keno_015,73400,105000
2024-07-12 23:43:15.949631,2572D590DB9C41C4BF37,CH2,850,75,win,keno_015,73400,105000
2024-07-12 23:43:15.875531,7ADF387010AF4E1F8328,CH2,775,75,bet,keno_015,73400,105000
2024-07-12 23:43:10.430178,7ADF387010AF4E1F8328,CH2,850,0,win,keno_015,73400,105000
2024-07-12 23:43:10.365794,0E6CA33B07DC45C4BAB8,CH2,850,75,bet,keno_015,73400,105000
2024-07-12 23:43:04.483864,0E6CA33B07DC45C4BAB8,CH2,925,0,win,keno_015,73400,105000
2024-07-12 23:43:04.415949,421AD85A933942E9862A,CH2,925,75,bet,keno_015,73400,105000
2024-07-12 23:42:39.243627,421AD85A933942E9862A,CH2,0,0,win,keno_015,73400,105000
2024-07-12 23:42:39.174822,078EB68D532B4FF18765,CH2,0,25,bet,keno_015,73400,105000
2024-07-12 23:42:33.940409,078EB68D532B4FF18765,CH2,25,0,win,keno_015,73400,105000
2024-07-12 23:42:33.867160,BECEAC4675644C9CAE5F,CH2,25,25,bet,keno_015,73400,105000
2024-07-12 23:42:28.356536,BECEAC4675644C9CAE5F,CH2,50,0,win,keno_015,73400,105000
2024-07-12 23:42:28.286269,D0176431528B40468FAE,CH2,50,25,bet,keno_015,73400,105000
